timestamp_utc,ow_temp,ow_pressure,ow_humidity,ow_wind_speed,ow_wind_deg,ow_clouds,ow_co,ow_no,ow_no2,ow_o3,ow_so2,ow_pm2_5,ow_pm10,ow_nh3,aqi_aqicn,aqicn_co,aqicn_no2,aqicn_pm25,aqicn_pm10,aqicn_o3,aqicn_so2,hour,day,month,weekday
2025-10-22 09:05:02+00:00,36.07,1010,15,4.12,40,0,419.18,0.19,2.59,177.85,10.5,100.38,196.06,2.63,95.0,7.3,6.5,95.0,59.0,32.2,3.4,9,22,10,2
2025-10-22 12:00:00+00:00,35.32,1010,20,4.11,62,0,,,,,,,,,,,,,,,,12,22,10,2
2025-10-22 15:00:00+00:00,33.31,1011,27,3.21,18,0,,,,,,,,,,,,,,,,15,22,10,2
2025-10-22 18:00:00+00:00,30.98,1012,31,4.78,58,0,,,,,,,,,,,,,,,,18,22,10,2
2025-10-22 21:00:00+00:00,28.41,1011,45,0.32,122,0,,,,,,,,,,,,,,,,21,22,10,2
2025-10-23 00:00:00+00:00,28.49,1011,37,3.33,350,0,,,,,,,,,,,,,,,,0,23,10,3
2025-10-23 03:00:00+00:00,29.27,1013,34,4.04,21,0,,,,,,,,,,,,,,,,3,23,10,3
2025-10-23 06:00:00+00:00,32.85,1012,29,2.6,57,0,,,,,,,,,,,,,,,,6,23,10,3
2025-10-23 09:00:00+00:00,33.58,1009,29,1.05,237,0,,,,,,,,,,,,,,,,9,23,10,3
2025-10-23 12:00:00+00:00,32.59,1008,31,3.18,273,0,,,,,,,,,,,,,,,,12,23,10,3
2025-10-23 15:00:00+00:00,30.0,1010,43,2.98,282,1,,,,,,,,,,,,,,,,15,23,10,3
2025-10-23 18:00:00+00:00,28.56,1011,51,3.56,253,2,,,,,,,,,,,,,,,,18,23,10,3
2025-10-23 21:00:00+00:00,27.75,1010,56,4.1,293,2,,,,,,,,,,,,,,,,21,23,10,3
2025-10-24 00:00:00+00:00,27.22,1010,55,1.92,334,1,,,,,,,,,,,,,,,,0,24,10,4
2025-10-24 03:00:00+00:00,28.82,1012,45,1.03,340,0,,,,,,,,,,,,,,,,3,24,10,4
2025-10-24 06:00:00+00:00,31.64,1011,38,0.4,256,0,,,,,,,,,,,,,,,,6,24,10,4
2025-10-24 09:00:00+00:00,31.74,1009,34,3.16,226,1,,,,,,,,,,,,,,,,9,24,10,4
2025-10-24 12:00:00+00:00,31.27,1008,39,5.96,278,1,,,,,,,,,,,,,,,,12,24,10,4
2025-10-24 15:00:00+00:00,29.73,1009,44,3.59,315,0,,,,,,,,,,,,,,,,15,24,10,4
2025-10-24 18:00:00+00:00,28.74,1009,47,2.94,237,0,,,,,,,,,,,,,,,,18,24,10,4
2025-10-24 21:00:00+00:00,27.99,1008,50,3.82,313,0,,,,,,,,,,,,,,,,21,24,10,4
2025-10-25 00:00:00+00:00,27.78,1008,45,2.27,344,0,,,,,,,,,,,,,,,,0,25,10,5
2025-10-25 03:00:00+00:00,29.33,1010,36,1.7,44,0,,,,,,,,,,,,,,,,3,25,10,5
2025-10-25 06:00:00+00:00,32.57,1010,32,2.22,122,0,,,,,,,,,,,,,,,,6,25,10,5
2025-10-25 09:00:00+00:00,32.35,1007,34,3.63,207,0,,,,,,,,,,,,,,,,9,25,10,5
2025-10-25 12:00:00+00:00,31.9,1007,38,3.16,259,0,,,,,,,,,,,,,,,,12,25,10,5
2025-10-25 15:00:00+00:00,29.4,1009,45,2.57,245,0,,,,,,,,,,,,,,,,15,25,10,5
2025-10-25 18:00:00+00:00,28.68,1009,47,1.8,191,0,,,,,,,,,,,,,,,,18,25,10,5
2025-10-25 21:00:00+00:00,28.86,1008,43,3.38,338,60,,,,,,,,,,,,,,,,21,25,10,5
2025-10-26 00:00:00+00:00,28.39,1009,41,3.51,6,67,,,,,,,,,,,,,,,,0,26,10,6
2025-10-26 03:00:00+00:00,29.24,1010,38,3.05,65,7,,,,,,,,,,,,,,,,3,26,10,6
2025-10-26 06:00:00+00:00,32.42,1010,32,2.84,98,5,,,,,,,,,,,,,,,,6,26,10,6
2025-10-26 09:00:00+00:00,33.37,1008,32,2.69,115,0,,,,,,,,,,,,,,,,9,26,10,6
2025-10-26 12:00:00+00:00,33.39,1007,32,2.19,36,0,,,,,,,,,,,,,,,,12,26,10,6
2025-10-26 15:00:00+00:00,30.01,1008,44,2.37,220,54,,,,,,,,,,,,,,,,15,26,10,6
2025-10-26 18:00:00+00:00,29.24,1009,48,0.79,224,72,,,,,,,,,,,,,,,,18,26,10,6
2025-10-26 21:00:00+00:00,28.79,1009,43,0.97,28,97,,,,,,,,,,,,,,,,21,26,10,6
2025-10-27 00:00:00+00:00,28.48,1009,39,3.13,26,89,,,,,,,,,,,,,,,,0,27,10,0
